V1	V2	V3	V4	V5	V6	V7	V8	V9
Yy1	mmu-mir-181a	NA	NA	Repression	36413144	literature	AML12	M.musculus
Foxo1	mmu-mir-302a	NA	NA	Repression	33372619	literature	Embryonic stem cells	M.musculus
Sox6	mmu-mir-29b-2	NA	NA	Activation	33279721	literature	C2C12	M.musculus
Sox6	mmu-mir-29b-1	NA	NA	Activation	33279721	literature	C2C12	M.musculus
Ezh2	mmu-mir-22	NA	NA	Repression	33097254	literature	cardiomyocytes	M.musculus
Ezh2	mmu-mir-101	NA	NA	Repression	33686766	literature	RAW264.7	M.musculus
Foxo3	mmu-mir-34b	NA	NA	Activation	33941868	literature	bronchial epithelial cells	M.musculus
Hdac3	mmu-mir-494	NA	NA	Repression	33982231	literature	Primary cardiomyocytes	M.musculus
Ezh2	mmu-mir-1929	NA	NA	Repression	34057794	literature	MPC-5	M.musculus
Elf3	mmu-mir-182	NA	NA	Activation	36817393	literature	3T3-L1	M.musculus
Klf6	mmu-mir-223	NA	NA	Repression	34710881	literature	TCMK-1	M.musculus
Egr2	mmu-mir-455	NA	NA	Activation	35029277	literature	MIN6	M.musculus
Mysm1	mmu-mir-150	NA	NA	Activation	30895711	literature	Adipose-derived stem cells	M.musculus
Egr1	mmu-mir-182	NA	NA	Repression	37530910	literature	Retinal tissue	M.musculus
Hdac3	mmu-mir-17	NA	NA	Repression	33143661	literature	lung fibroblasts	M.musculus
Mbd2	mmu-mir-345	NA	NA	Activation	34853720	literature	retinal ganglion cells	M.musculus
Sp1	mmu-mir-204	NA	NA	Activation	33614251	literature	HEI-OC1	M.musculus
Atf3	mmu-mir-33	NA	NA	Repression	31709711	literature	RAW264.7	M.musculus
Sox4	mmu-mir-181	NA	NA	Activation	30287480	literature	thymocytes	M.musculus
Sox10	mmu-mir-29a	NA	NA	Activation	36919939	literature	HT-22	M.musculus
E2f1	mmu-mir-130b	NA	NA	Repression	37941530	literature	Adipose-derived stem cells	M.musculus
Stat3	mmu-mir-146b	NA	NA	Activation	37146099	literature	HEK-293T	M.musculus
Tead1	mmu-mir-27b	NA	NA	Activation	37574723	literature	adipocyte precursor cells	M.musculus
E2f1	mmu-mir-122	NA	NA	Repression	33177827	literature	N2a	M.musculus
Sp1	mmu-mir-200b	NA	NA	Activation	37165386	literature	MLO-Y4	M.musculus
Relb	mmu-mir-193a	NA	NA	Repression	36863451	literature	HEK-293T	M.musculus
Yy1	mmu-mir-130a	NA	NA	Repression	35234205	literature	BV-2	M.musculus
Sox9	mmu-mir-96	NA	NA	Repression	35686454	literature	HL-1	M.musculus
Atf1	mmu-mir-214	NA	NA	Activation	35568813	literature	RAW264.7	M.musculus
Sp1	mmu-mir-122	NA	NA	Activation	33827415	literature	Sertoli cells	M.musculus
Sp1	mmu-mir-144	NA	NA	Activation	34730058	literature	N1511	M.musculus
Hdac3	mmu-mir-18a	NA	NA	Repression	33143661	literature	lung fibroblasts	M.musculus
Hdac3	mmu-mir-19b	NA	NA	Repression	33143661	literature	lung fibroblasts	M.musculus
Smad2	mmu-mir-9	NA	NA	Activation	31174089	literature	RAW264.7	M.musculus
